
🚀 Запуск Эксперимента 4: Dynamic Leaky Log Decay...
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:648: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=0, inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:650: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment using an inplace method.
Such inplace method never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).

For example, when doing 'df[col].method(value, inplace=True)', try using 'df.method({col: value}, inplace=True)' instead, to perform the operation inplace on the original object, or try to avoid an inplace operation using 'df[col] = df[col].method(value)'.

See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html
  feat[field].fillna(value=feat[field].mean(), inplace=True)
C:\research\.venv\Lib\site-packages\recbole\data\dataset\dataset.py:2136: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_numpy.cpp:209.)
  new_data[k] = torch.LongTensor(value)
C:\research\.venv\Lib\site-packages\recbole\model\general_recommender\lightgcn.py:124: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:656.)
  SparseL = torch.sparse.FloatTensor(i, data, torch.Size(L.shape))
[AdaptiveLightGCN] ✅ Loaded 150 semantic centroids.
[AdaptiveLightGCN] 🔗 Успешно смапплено 5002 фильмов с кластерами.

[DynamicLeakyLog] 🌉 Применено Динамическое Дырявое Затухание!
   - Динамический порог (85%): 115.0 оценок
   - Min Weight (Floor): 0.05 (сохраняем мост для 715 хитов)
   - Tail (<=5 оценок): 2385 фильмов (вес тяготеет к 1.0)
🏁 [Epoch 4] Завершена! Суммарный лосс: 37.1463 (BPR: 33.6217, Sem: 3.5246)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1364), ('recall@50', 0.3114), ('ndcg@10', 0.1021), ('ndcg@50', 0.1495)])
   [Epoch 5] batch 50/172 | Loss: 0.2131 (BPR: 0.1930, Sem: 0.0201)
   [Epoch 5] batch 100/172 | Loss: 0.2026 (BPR: 0.1826, Sem: 0.0200)
   [Epoch 5] batch 150/172 | Loss: 0.2094 (BPR: 0.1887, Sem: 0.0207)
🏁 [Epoch 5] Завершена! Суммарный лосс: 36.7301 (BPR: 33.2140, Sem: 3.5161)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1368), ('recall@50', 0.3129), ('ndcg@10', 0.1023), ('ndcg@50', 0.1498)])
   [Epoch 6] batch 50/172 | Loss: 0.2181 (BPR: 0.1979, Sem: 0.0202)
   [Epoch 6] batch 100/172 | Loss: 0.2174 (BPR: 0.1972, Sem: 0.0202)
   [Epoch 6] batch 150/172 | Loss: 0.2164 (BPR: 0.1957, Sem: 0.0207)
🏁 [Epoch 6] Завершена! Суммарный лосс: 36.2187 (BPR: 32.7162, Sem: 3.5025)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1378), ('recall@50', 0.3119), ('ndcg@10', 0.1027), ('ndcg@50', 0.1497)])
   [Epoch 7] batch 50/172 | Loss: 0.2213 (BPR: 0.2009, Sem: 0.0204)
   [Epoch 7] batch 100/172 | Loss: 0.1905 (BPR: 0.1712, Sem: 0.0193)
   [Epoch 7] batch 150/172 | Loss: 0.2054 (BPR: 0.1857, Sem: 0.0197)
🏁 [Epoch 7] Завершена! Суммарный лосс: 35.5989 (BPR: 32.1142, Sem: 3.4847)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1387), ('recall@50', 0.3128), ('ndcg@10', 0.1032), ('ndcg@50', 0.1502)])
   [Epoch 8] batch 50/172 | Loss: 0.1961 (BPR: 0.1761, Sem: 0.0200)
   [Epoch 8] batch 100/172 | Loss: 0.2081 (BPR: 0.1884, Sem: 0.0197)
   [Epoch 8] batch 150/172 | Loss: 0.1837 (BPR: 0.1649, Sem: 0.0188)
🏁 [Epoch 8] Завершена! Суммарный лосс: 34.9481 (BPR: 31.4663, Sem: 3.4818)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1386), ('recall@50', 0.3168), ('ndcg@10', 0.1036), ('ndcg@50', 0.1516)])
   [Epoch 9] batch 50/172 | Loss: 0.1884 (BPR: 0.1689, Sem: 0.0195)
   [Epoch 9] batch 100/172 | Loss: 0.2282 (BPR: 0.2068, Sem: 0.0214)
   [Epoch 9] batch 150/172 | Loss: 0.1983 (BPR: 0.1774, Sem: 0.0208)
🏁 [Epoch 9] Завершена! Суммарный лосс: 34.5119 (BPR: 31.0296, Sem: 3.4823)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1418), ('recall@50', 0.32), ('ndcg@10', 0.1049), ('ndcg@50', 0.1532)])
   [Epoch 10] batch 50/172 | Loss: 0.2074 (BPR: 0.1859, Sem: 0.0215)
   [Epoch 10] batch 100/172 | Loss: 0.1965 (BPR: 0.1765, Sem: 0.0200)
   [Epoch 10] batch 150/172 | Loss: 0.1883 (BPR: 0.1682, Sem: 0.0201)
🏁 [Epoch 10] Завершена! Суммарный лосс: 33.6721 (BPR: 30.1882, Sem: 3.4839)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1468), ('recall@50', 0.3276), ('ndcg@10', 0.1075), ('ndcg@50', 0.1565)])
   [Epoch 11] batch 50/172 | Loss: 0.1805 (BPR: 0.1594, Sem: 0.0211)
   [Epoch 11] batch 100/172 | Loss: 0.1823 (BPR: 0.1626, Sem: 0.0196)
   [Epoch 11] batch 150/172 | Loss: 0.2028 (BPR: 0.1815, Sem: 0.0213)
🏁 [Epoch 11] Завершена! Суммарный лосс: 33.1327 (BPR: 29.6479, Sem: 3.4847)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.155), ('recall@50', 0.3374), ('ndcg@10', 0.1115), ('ndcg@50', 0.161)])
   [Epoch 12] batch 50/172 | Loss: 0.1742 (BPR: 0.1547, Sem: 0.0195)
   [Epoch 12] batch 100/172 | Loss: 0.1900 (BPR: 0.1699, Sem: 0.0201)
   [Epoch 12] batch 150/172 | Loss: 0.1774 (BPR: 0.1567, Sem: 0.0207)
🏁 [Epoch 12] Завершена! Суммарный лосс: 32.1168 (BPR: 28.6322, Sem: 3.4846)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1628), ('recall@50', 0.3468), ('ndcg@10', 0.1164), ('ndcg@50', 0.1665)])
   [Epoch 13] batch 50/172 | Loss: 0.1735 (BPR: 0.1536, Sem: 0.0198)
   [Epoch 13] batch 100/172 | Loss: 0.1793 (BPR: 0.1592, Sem: 0.0200)
   [Epoch 13] batch 150/172 | Loss: 0.1715 (BPR: 0.1510, Sem: 0.0205)
🏁 [Epoch 13] Завершена! Суммарный лосс: 31.2270 (BPR: 27.7442, Sem: 3.4828)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1685), ('recall@50', 0.3582), ('ndcg@10', 0.1201), ('ndcg@50', 0.1721)])
   [Epoch 14] batch 50/172 | Loss: 0.1720 (BPR: 0.1522, Sem: 0.0199)
   [Epoch 14] batch 100/172 | Loss: 0.1803 (BPR: 0.1608, Sem: 0.0195)
   [Epoch 14] batch 150/172 | Loss: 0.1729 (BPR: 0.1530, Sem: 0.0200)
🏁 [Epoch 14] Завершена! Суммарный лосс: 30.4187 (BPR: 26.9361, Sem: 3.4826)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1734), ('recall@50', 0.3662), ('ndcg@10', 0.1233), ('ndcg@50', 0.1767)])
   [Epoch 15] batch 50/172 | Loss: 0.1803 (BPR: 0.1599, Sem: 0.0204)
   [Epoch 15] batch 100/172 | Loss: 0.1788 (BPR: 0.1584, Sem: 0.0204)
   [Epoch 15] batch 150/172 | Loss: 0.1756 (BPR: 0.1547, Sem: 0.0209)
🏁 [Epoch 15] Завершена! Суммарный лосс: 29.7248 (BPR: 26.2439, Sem: 3.4808)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.177), ('recall@50', 0.374), ('ndcg@10', 0.1272), ('ndcg@50', 0.1819)])
   [Epoch 16] batch 50/172 | Loss: 0.1632 (BPR: 0.1427, Sem: 0.0205)
   [Epoch 16] batch 100/172 | Loss: 0.1702 (BPR: 0.1494, Sem: 0.0207)
   [Epoch 16] batch 150/172 | Loss: 0.1772 (BPR: 0.1559, Sem: 0.0213)
🏁 [Epoch 16] Завершена! Суммарный лосс: 28.7292 (BPR: 25.2512, Sem: 3.4781)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1788), ('recall@50', 0.3797), ('ndcg@10', 0.1296), ('ndcg@50', 0.1852)])
   [Epoch 17] batch 50/172 | Loss: 0.1550 (BPR: 0.1351, Sem: 0.0199)
   [Epoch 17] batch 100/172 | Loss: 0.1680 (BPR: 0.1476, Sem: 0.0204)
   [Epoch 17] batch 150/172 | Loss: 0.1730 (BPR: 0.1529, Sem: 0.0202)
🏁 [Epoch 17] Завершена! Суммарный лосс: 28.1021 (BPR: 24.6260, Sem: 3.4762)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1806), ('recall@50', 0.3852), ('ndcg@10', 0.1316), ('ndcg@50', 0.1882)])
   [Epoch 18] batch 50/172 | Loss: 0.1598 (BPR: 0.1398, Sem: 0.0200)
   [Epoch 18] batch 100/172 | Loss: 0.1499 (BPR: 0.1295, Sem: 0.0205)
   [Epoch 18] batch 150/172 | Loss: 0.1582 (BPR: 0.1377, Sem: 0.0205)
🏁 [Epoch 18] Завершена! Суммарный лосс: 27.4285 (BPR: 23.9559, Sem: 3.4726)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1847), ('recall@50', 0.3883), ('ndcg@10', 0.1346), ('ndcg@50', 0.1908)])
   [Epoch 19] batch 50/172 | Loss: 0.1596 (BPR: 0.1399, Sem: 0.0197)
   [Epoch 19] batch 100/172 | Loss: 0.1571 (BPR: 0.1378, Sem: 0.0193)
   [Epoch 19] batch 150/172 | Loss: 0.1682 (BPR: 0.1477, Sem: 0.0205)
🏁 [Epoch 19] Завершена! Суммарный лосс: 27.3750 (BPR: 23.9052, Sem: 3.4698)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1875), ('recall@50', 0.391), ('ndcg@10', 0.1374), ('ndcg@50', 0.1935)])
   [Epoch 20] batch 50/172 | Loss: 0.1473 (BPR: 0.1263, Sem: 0.0210)
   [Epoch 20] batch 100/172 | Loss: 0.1548 (BPR: 0.1333, Sem: 0.0215)
   [Epoch 20] batch 150/172 | Loss: 0.1386 (BPR: 0.1192, Sem: 0.0194)
🏁 [Epoch 20] Завершена! Суммарный лосс: 26.3693 (BPR: 22.9031, Sem: 3.4662)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1885), ('recall@50', 0.3911), ('ndcg@10', 0.1383), ('ndcg@50', 0.1944)])
   [Epoch 21] batch 50/172 | Loss: 0.1523 (BPR: 0.1324, Sem: 0.0198)
   [Epoch 21] batch 100/172 | Loss: 0.1330 (BPR: 0.1138, Sem: 0.0192)
   [Epoch 21] batch 150/172 | Loss: 0.1406 (BPR: 0.1201, Sem: 0.0205)
🏁 [Epoch 21] Завершена! Суммарный лосс: 26.2222 (BPR: 22.7592, Sem: 3.4630)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1878), ('recall@50', 0.3932), ('ndcg@10', 0.1375), ('ndcg@50', 0.1945)])
   [Epoch 22] batch 50/172 | Loss: 0.1399 (BPR: 0.1198, Sem: 0.0201)
   [Epoch 22] batch 100/172 | Loss: 0.1513 (BPR: 0.1309, Sem: 0.0204)
   [Epoch 22] batch 150/172 | Loss: 0.1503 (BPR: 0.1303, Sem: 0.0200)
🏁 [Epoch 22] Завершена! Суммарный лосс: 25.8137 (BPR: 22.3540, Sem: 3.4597)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1899), ('recall@50', 0.3943), ('ndcg@10', 0.1394), ('ndcg@50', 0.1961)])
   [Epoch 23] batch 50/172 | Loss: 0.1397 (BPR: 0.1193, Sem: 0.0204)
   [Epoch 23] batch 100/172 | Loss: 0.1426 (BPR: 0.1221, Sem: 0.0205)
   [Epoch 23] batch 150/172 | Loss: 0.1449 (BPR: 0.1248, Sem: 0.0201)
🏁 [Epoch 23] Завершена! Суммарный лосс: 25.2543 (BPR: 21.7984, Sem: 3.4559)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1913), ('recall@50', 0.3964), ('ndcg@10', 0.1407), ('ndcg@50', 0.1978)])
   [Epoch 24] batch 50/172 | Loss: 0.1501 (BPR: 0.1289, Sem: 0.0212)
   [Epoch 24] batch 100/172 | Loss: 0.1375 (BPR: 0.1181, Sem: 0.0195)
   [Epoch 24] batch 150/172 | Loss: 0.1398 (BPR: 0.1203, Sem: 0.0194)
🏁 [Epoch 24] Завершена! Суммарный лосс: 25.1543 (BPR: 21.7016, Sem: 3.4527)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1936), ('recall@50', 0.3985), ('ndcg@10', 0.1426), ('ndcg@50', 0.1995)])
   [Epoch 25] batch 50/172 | Loss: 0.1430 (BPR: 0.1229, Sem: 0.0201)
   [Epoch 25] batch 100/172 | Loss: 0.1445 (BPR: 0.1247, Sem: 0.0198)
   [Epoch 25] batch 150/172 | Loss: 0.1540 (BPR: 0.1344, Sem: 0.0196)
🏁 [Epoch 25] Завершена! Суммарный лосс: 24.8821 (BPR: 21.4332, Sem: 3.4489)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1936), ('recall@50', 0.4), ('ndcg@10', 0.1433), ('ndcg@50', 0.2008)])
   [Epoch 26] batch 50/172 | Loss: 0.1328 (BPR: 0.1134, Sem: 0.0194)
   [Epoch 26] batch 100/172 | Loss: 0.1415 (BPR: 0.1223, Sem: 0.0192)
   [Epoch 26] batch 150/172 | Loss: 0.1401 (BPR: 0.1200, Sem: 0.0201)
🏁 [Epoch 26] Завершена! Суммарный лосс: 24.4805 (BPR: 21.0346, Sem: 3.4459)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.195), ('recall@50', 0.4004), ('ndcg@10', 0.145), ('ndcg@50', 0.2023)])
   [Epoch 27] batch 50/172 | Loss: 0.1441 (BPR: 0.1243, Sem: 0.0198)
   [Epoch 27] batch 100/172 | Loss: 0.1310 (BPR: 0.1106, Sem: 0.0204)
   [Epoch 27] batch 150/172 | Loss: 0.1522 (BPR: 0.1325, Sem: 0.0197)
🏁 [Epoch 27] Завершена! Суммарный лосс: 24.3005 (BPR: 20.8575, Sem: 3.4430)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1961), ('recall@50', 0.4021), ('ndcg@10', 0.1466), ('ndcg@50', 0.2038)])
   [Epoch 28] batch 50/172 | Loss: 0.1402 (BPR: 0.1195, Sem: 0.0207)
   [Epoch 28] batch 100/172 | Loss: 0.1437 (BPR: 0.1236, Sem: 0.0201)
   [Epoch 28] batch 150/172 | Loss: 0.1259 (BPR: 0.1069, Sem: 0.0190)
🏁 [Epoch 28] Завершена! Суммарный лосс: 23.8924 (BPR: 20.4514, Sem: 3.4409)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1984), ('recall@50', 0.4046), ('ndcg@10', 0.1486), ('ndcg@50', 0.2059)])
   [Epoch 29] batch 50/172 | Loss: 0.1398 (BPR: 0.1201, Sem: 0.0197)
   [Epoch 29] batch 100/172 | Loss: 0.1477 (BPR: 0.1284, Sem: 0.0193)
   [Epoch 29] batch 150/172 | Loss: 0.1432 (BPR: 0.1232, Sem: 0.0200)
🏁 [Epoch 29] Завершена! Суммарный лосс: 23.8805 (BPR: 20.4421, Sem: 3.4384)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1989), ('recall@50', 0.4064), ('ndcg@10', 0.1495), ('ndcg@50', 0.2073)])
   [Epoch 30] batch 50/172 | Loss: 0.1328 (BPR: 0.1120, Sem: 0.0208)
   [Epoch 30] batch 100/172 | Loss: 0.1502 (BPR: 0.1300, Sem: 0.0202)
   [Epoch 30] batch 150/172 | Loss: 0.1432 (BPR: 0.1234, Sem: 0.0198)
🏁 [Epoch 30] Завершена! Суммарный лосс: 23.3912 (BPR: 19.9547, Sem: 3.4365)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.1998), ('recall@50', 0.407), ('ndcg@10', 0.1504), ('ndcg@50', 0.2083)])
   [Epoch 31] batch 50/172 | Loss: 0.1378 (BPR: 0.1182, Sem: 0.0196)
   [Epoch 31] batch 100/172 | Loss: 0.1349 (BPR: 0.1144, Sem: 0.0206)
   [Epoch 31] batch 150/172 | Loss: 0.1475 (BPR: 0.1267, Sem: 0.0208)
🏁 [Epoch 31] Завершена! Суммарный лосс: 23.0371 (BPR: 19.6024, Sem: 3.4347)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2027), ('recall@50', 0.408), ('ndcg@10', 0.1522), ('ndcg@50', 0.2097)])
   [Epoch 32] batch 50/172 | Loss: 0.1188 (BPR: 0.1002, Sem: 0.0186)
   [Epoch 32] batch 100/172 | Loss: 0.1174 (BPR: 0.0988, Sem: 0.0187)
   [Epoch 32] batch 150/172 | Loss: 0.1273 (BPR: 0.1080, Sem: 0.0193)
🏁 [Epoch 32] Завершена! Суммарный лосс: 22.9508 (BPR: 19.5188, Sem: 3.4320)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2026), ('recall@50', 0.4095), ('ndcg@10', 0.1523), ('ndcg@50', 0.2102)])
   [Epoch 33] batch 50/172 | Loss: 0.1401 (BPR: 0.1201, Sem: 0.0200)
   [Epoch 33] batch 100/172 | Loss: 0.1392 (BPR: 0.1193, Sem: 0.0199)
   [Epoch 33] batch 150/172 | Loss: 0.1238 (BPR: 0.1026, Sem: 0.0212)
🏁 [Epoch 33] Завершена! Суммарный лосс: 22.7491 (BPR: 19.3190, Sem: 3.4301)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2035), ('recall@50', 0.4106), ('ndcg@10', 0.1537), ('ndcg@50', 0.2117)])
   [Epoch 34] batch 50/172 | Loss: 0.1358 (BPR: 0.1158, Sem: 0.0200)
   [Epoch 34] batch 100/172 | Loss: 0.1331 (BPR: 0.1130, Sem: 0.0201)
   [Epoch 34] batch 150/172 | Loss: 0.1103 (BPR: 0.0899, Sem: 0.0203)
🏁 [Epoch 34] Завершена! Суммарный лосс: 22.5182 (BPR: 19.0907, Sem: 3.4276)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2067), ('recall@50', 0.4121), ('ndcg@10', 0.1555), ('ndcg@50', 0.2129)])
   [Epoch 35] batch 50/172 | Loss: 0.1269 (BPR: 0.1064, Sem: 0.0205)
   [Epoch 35] batch 100/172 | Loss: 0.1406 (BPR: 0.1203, Sem: 0.0204)
   [Epoch 35] batch 150/172 | Loss: 0.1417 (BPR: 0.1209, Sem: 0.0208)
🏁 [Epoch 35] Завершена! Суммарный лосс: 22.3688 (BPR: 18.9427, Sem: 3.4261)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2075), ('recall@50', 0.4132), ('ndcg@10', 0.1553), ('ndcg@50', 0.2131)])
   [Epoch 36] batch 50/172 | Loss: 0.1289 (BPR: 0.1090, Sem: 0.0199)
   [Epoch 36] batch 100/172 | Loss: 0.1291 (BPR: 0.1100, Sem: 0.0191)
   [Epoch 36] batch 150/172 | Loss: 0.1209 (BPR: 0.1010, Sem: 0.0199)
🏁 [Epoch 36] Завершена! Суммарный лосс: 22.0106 (BPR: 18.5864, Sem: 3.4242)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2085), ('recall@50', 0.4137), ('ndcg@10', 0.1561), ('ndcg@50', 0.2138)])
   [Epoch 37] batch 50/172 | Loss: 0.1264 (BPR: 0.1066, Sem: 0.0198)
   [Epoch 37] batch 100/172 | Loss: 0.1283 (BPR: 0.1086, Sem: 0.0197)
   [Epoch 37] batch 150/172 | Loss: 0.1153 (BPR: 0.0948, Sem: 0.0206)
🏁 [Epoch 37] Завершена! Суммарный лосс: 21.7956 (BPR: 18.3730, Sem: 3.4226)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2107), ('recall@50', 0.4143), ('ndcg@10', 0.1572), ('ndcg@50', 0.2147)])
   [Epoch 38] batch 50/172 | Loss: 0.1216 (BPR: 0.1017, Sem: 0.0199)
   [Epoch 38] batch 100/172 | Loss: 0.1158 (BPR: 0.0955, Sem: 0.0204)
   [Epoch 38] batch 150/172 | Loss: 0.1315 (BPR: 0.1107, Sem: 0.0208)
🏁 [Epoch 38] Завершена! Суммарный лосс: 21.9023 (BPR: 18.4819, Sem: 3.4205)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2119), ('recall@50', 0.4173), ('ndcg@10', 0.1577), ('ndcg@50', 0.2155)])
   [Epoch 39] batch 50/172 | Loss: 0.1305 (BPR: 0.1103, Sem: 0.0202)
   [Epoch 39] batch 100/172 | Loss: 0.1219 (BPR: 0.1021, Sem: 0.0198)
   [Epoch 39] batch 150/172 | Loss: 0.1236 (BPR: 0.1042, Sem: 0.0195)
🏁 [Epoch 39] Завершена! Суммарный лосс: 21.6732 (BPR: 18.2544, Sem: 3.4188)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2129), ('recall@50', 0.4169), ('ndcg@10', 0.158), ('ndcg@50', 0.2158)])
   [Epoch 40] batch 50/172 | Loss: 0.1491 (BPR: 0.1292, Sem: 0.0199)
   [Epoch 40] batch 100/172 | Loss: 0.1334 (BPR: 0.1130, Sem: 0.0204)
   [Epoch 40] batch 150/172 | Loss: 0.1375 (BPR: 0.1183, Sem: 0.0192)
🏁 [Epoch 40] Завершена! Суммарный лосс: 21.4412 (BPR: 18.0246, Sem: 3.4166)
📈 [Validation] Метрики: OrderedDict([('recall@10', 0.2146), ('recall@50', 0.4181), ('ndcg@10', 0.1591), ('ndcg@50', 0.2165)])
   [Epoch 41] batch 50/172 | Loss: 0.1302 (BPR: 0.1100, Sem: 0.0202)
